sn1_holding+filling,sn1_max,sn2_holding+filling,sn2_max,sn3_holding+filling,sn3_max,sn4_holding+filling,sn4_max
327.5455639,88.4,296.3689749,87.81009712,221.267978,83.93602353,200.0586957,81.96694847
320.8108718,88.4,304.0909283,89.24633179,228.866601,85.4234027,205.8750353,83.74097278
327.2627595,88.4,309.7557756,88.5621486,237.1099655,85.84534746,213.3073513,84.59130676
259.4053819,67.6,224.6196219,64.37542179,145.5959554,58.31218152,125.0121153,54.96832673
258.7234627,67.6,228.5330801,64.92179114,150.2680656,60.48741741,128.6279427,58.01103858
258.4004479,67.6,231.2446751,65.15004163,155.1338428,61.56895267,132.6641754,59.60446147
297.8025093,78,264.485618,75.14708254,185.4523462,70.38710383,164.4439439,67.7110353
297.1280332,78,268.3853408,76.41883707,190.3283801,72.72206345,167.8296564,70.63347765
296.8646817,78,271.6555517,77.36997873,195.9116394,74.4959466,172.4908592,73.00143134
336.1975341,88.4,304.313417,86.34100231,226.6135407,82.32335832,205.4022951,80.00309185
335.529932,88.4,309.5757273,90.841916,231.0507632,87.21517219,207.2399607,85.53970322
333.4440902,88.4,305.5403921,89.55567959,234.7057282,86.95180186,211.4819973,85.80385366
251.5046197,67.6,213.2368345,64.45434613,141.9000546,58.62552218,123.0615203,55.44505474
244.5140262,67.6,216.0898034,64.82278097,146.14749,60.36780334,126.1364678,57.82040759
244.7251525,67.6,227.7080294,65.43578158,153.8534964,62.1198406,131.6408854,60.3130323
288.8192261,78,250.3822465,75.17020078,179.1680471,70.49868979,160.205834,67.86117131
280.7963201,78,253.8254229,75.92019776,183.9959008,72.36588489,163.4343913,70.37226032
281.1422747,78,267.0001336,77.82763589,193.6633072,75.23426912,170.7441558,73.73248862
326.1289963,88.4,287.8030518,87.08596128,216.7872968,83.11750367,197.5111636,81.06745494
317.0755468,88.4,291.7627187,90.70107839,221.3954618,87.33929229,199.8968244,85.38014524
316.4659717,88.4,296.560038,90.30649363,230.5514645,87.58128521,208.5530136,86.24499017
