time,probe,pressure
0.123377,sn2,5.23261
0.124733,sn2,5.34075
0.127455,sn2,5.55895
0.130618,sn2,5.81951
0.132211,sn2,5.94589
0.135422,sn2,6.18399
0.137025,sn2,6.30549
0.140282,sn2,6.54669
0.141915,sn2,6.66746
0.143813,sn2,6.8133
0.147611,sn2,7.09367
0.149518,sn2,7.23155
0.151427,sn2,7.36613
0.153332,sn2,7.49871
0.15525,sn2,7.6316
0.158992,sn2,7.92283
0.160677,sn2,8.21956
0.162542,sn2,8.47237
0.166113,sn2,8.86781
0.167871,sn2,9.06188
0.16962,sn2,9.25231
0.173119,sn2,9.64104
0.174873,sn2,9.82787
0.176623,sn2,10.0156
0.180123,sn2,10.3831
0.181869,sn2,10.5745
0.18363,sn2,10.7544
0.187106,sn2,11.13
0.188855,sn2,11.308
0.190617,sn2,11.4857
0.194138,sn2,11.8475
0.195903,sn2,12.0323
0.197672,sn2,12.2253
0.201188,sn2,12.6311
0.202865,sn2,12.8088
0.204625,sn2,13.0222
0.207971,sn2,13.4059
0.209711,sn2,13.5695
0.213225,sn2,13.9021
0.214991,sn2,14.0951
0.216747,sn2,14.2918
0.220244,sn2,14.6783
0.222001,sn2,14.8989
0.223699,sn2,15.1185
0.227059,sn2,15.5047
0.228805,sn2,15.6696
0.23056,sn2,15.8637
0.233929,sn2,16.2627
0.235684,sn2,16.4718
0.252237,sn2,18.3092
0.256751,sn2,19.7974
0.291208,sn2,47.3455
0.325717,sn2,45.4421
0.358212,sn2,44.397
0.401186,sn2,43.6211
0.427621,sn2,43.5251
0.49298,sn2,43.4702
0.533183,sn2,44.1982
0.579417,sn2,45.4479
0.632586,sn2,47.4328
0.691072,sn2,50.397
0.755406,sn2,53.7427
0.826174,sn2,57.4047
0.904019,sn2,60.6103
0.989649,sn2,62.3545
1.08384,sn2,63.5345
1.18745,sn2,63.3533
1.30142,sn2,63.1096
1.42679,sn2,62.6708
1.5647,sn2,62.0905
1.7164,sn2,61.2663
1.88327,sn2,60.4718
2.06682,sn2,59.9387
2.26873,sn2,59.3192
2.47266,sn2,58.6295
2.67863,sn2,57.8276
2.88665,sn2,56.8115
3.09676,sn2,55.6108
3.30897,sn2,54.0789
3.5233,sn2,52.5275
3.73977,sn2,50.7763
3.95841,sn2,49.4649
3.95841,sn2,49.4649
3.99089,sn2,49.2553
4.01072,sn2,49.0979
4.03352,sn2,48.9062
4.05974,sn2,48.6857
4.08989,sn2,48.4363
4.12457,sn2,48.1567
4.16445,sn2,47.8461
4.21032,sn2,47.5049
4.26306,sn2,47.1324
4.32107,sn2,46.7415
4.38489,sn2,46.3276
4.45509,sn2,45.8836
4.53231,sn2,45.3752
4.61725,sn2,44.7374
4.71069,sn2,43.9365
4.81347,sn2,43.0118
4.92652,sn2,42.0249
5.05089,sn2,41.0152
5.18768,sn2,39.9989
5.33816,sn2,38.9961
5.50369,sn2,37.997
5.68577,sn2,36.9959
5.88606,sn2,35.9911
6.08835,sn2,35.0526
6.29266,sn2,34.1678
6.49902,sn2,33.3291
6.70743,sn2,32.527
6.91794,sn2,31.7573
7.13055,sn2,31.0127
7.34528,sn2,30.2895
7.56216,sn2,29.5858
7.78122,sn2,28.8998
8.00246,sn2,28.2302
8.22591,sn2,27.5794
8.4516,sn2,26.9429
8.67955,sn2,26.3193
8.90977,sn2,25.7086
9.1423,sn2,25.1092
9.37715,sn2,24.52
9.61435,sn2,23.9412
9.85392,sn2,23.3727
10.0959,sn2,22.8144
10.3403,sn2,22.2655
10.5871,sn2,21.7249
10.8364,sn2,21.1926
11.0882,sn2,20.6681
11.3425,sn2,20.1535
11.5994,sn2,19.6456
11.8588,sn2,19.1462
12.1208,sn2,18.6552
12.3855,sn2,18.1718
12.6527,sn2,17.6957
12.9227,sn2,17.2268
13.1954,sn2,16.7652
13.4707,sn2,16.3109
13.7489,sn2,15.8638
14.0298,sn2,15.4238
14.3135,sn2,14.991
14.6001,sn2,14.5656
14.7522,sn2,14.3414
14.7522,sn2,14.3414
0.160677,sn3,0.00705911
0.162542,sn3,0.0946079
0.166113,sn3,0.346054
0.167871,sn3,0.452471
0.16962,sn3,0.566219
0.173119,sn3,0.792469
0.174873,sn3,0.909332
0.176623,sn3,1.02926
0.180123,sn3,1.27761
0.181869,sn3,1.40401
0.18363,sn3,1.53014
0.187106,sn3,1.80028
0.188855,sn3,1.9327
0.190617,sn3,2.06614
0.194138,sn3,2.3472
0.195903,sn3,2.49096
0.197672,sn3,2.64327
0.201188,sn3,2.96497
0.202865,sn3,3.10552
0.204625,sn3,3.27835
0.207971,sn3,3.58921
0.209711,sn3,3.72546
0.213225,sn3,4.01647
0.214991,sn3,4.18364
0.216747,sn3,4.34968
0.220244,sn3,4.68243
0.222001,sn3,4.87686
0.223699,sn3,5.06552
0.227059,sn3,5.39408
0.228805,sn3,5.53995
0.23056,sn3,5.72147
0.233929,sn3,6.07013
0.235684,sn3,6.25783
0.252237,sn3,7.91912
0.256751,sn3,10.1798
0.291208,sn3,48.5753
0.325717,sn3,45.158
0.358212,sn3,42.6449
0.401186,sn3,40.3059
0.427621,sn3,39.5697
0.49298,sn3,39.1494
0.533183,sn3,39.6164
0.579417,sn3,40.5951
0.632586,sn3,42.1914
0.691072,sn3,44.5714
0.755406,sn3,47.6018
0.826174,sn3,51.1579
0.904019,sn3,54.2146
0.989649,sn3,56.2548
1.08384,sn3,57.2925
1.18745,sn3,57.1282
1.30142,sn3,56.1642
1.42679,sn3,54.6528
1.5647,sn3,52.6801
1.7164,sn3,50.2349
1.88327,sn3,47.3433
2.06682,sn3,44.1054
